name,taxid,ERR14789028,ERR14789029,ERR14789030,ERR14789031,ERR14789032,ERR14789033,ERR14789038,ERR14789039,ERR14789040,ERR14789041,ERR14789042,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
          Baculoviridae,10442,,,,,,,,,,,,,,,,,,,,0.28,
                Adenoviridae,10508,2.51,2.31,1.84,5.29,4.43,1.93,0.12,6.29,1.14,2.07,2.51,,,,,,,,,,
              Parvoviridae,10780,11.18,32.31,27.39,19.07,23.73,17.86,35.67,20.19,13.3,12.48,26.17,,0.52,0.32,0.35,0.52,1.09,,0.28,,0.29
              Microviridae,10841,0.14,,,,,,,,,,,0.24,0.26,0.39,,0.49,,0.36,0.25,,
                Coronaviridae,11118,0.13,0.11,0.09,0.06,0.14,0.11,,,,,,,,,,,,,,,
              Caliciviridae,11974,9.97,5.0,6.56,7.93,7.65,3.99,0.87,5.19,1.67,3.89,2.4,,,,,,,,,,
              Picornaviridae,12058,18.57,22.5,20.91,26.37,20.95,18.86,54.16,47.76,20.88,31.8,31.54,,0.24,,,,1.03,,0.4,,
              Nodaviridae,12283,,,,,,,,,,,,0.25,0.7,0.34,,,0.53,,,,
              Circoviridae,39724,,,,,,,,,,,,0.25,0.88,0.24,,0.25,0.27,,0.38,,0.29
              Astroviridae,39733,46.31,33.47,36.81,37.47,34.28,49.27,3.8,4.08,60.35,39.29,31.7,0.51,0.58,0.45,0.76,0.25,,,1.05,,
              Tombusviridae,39738,1.26,0.43,0.88,0.46,0.74,1.36,0.22,0.68,0.08,2.48,0.5,13.59,19.02,21.76,20.3,23.74,11.1,6.58,22.09,28.64,21.45
              Dicistroviridae,232795,0.73,,,,,,,,,,,19.31,,,,,,,,,
              Tymoviridae,249184,0.12,,,,0.09,0.13,,,,0.14,,0.84,0.98,0.9,0.48,1.91,,,0.98,1.5,
              Mimiviridae,549779,,0.02,0.04,0.05,,,,,,0.08,,0.39,0.86,0.97,1.11,0.82,,0.91,0.5,0.78,0.72
              Alphaflexiviridae,675064,0.09,,0.04,,,0.09,,,,0.18,0.04,0.68,0.64,1.2,0.86,1.79,0.42,,1.05,1.72,2.84
              Betaflexiviridae,675068,0.08,,,,,0.05,,,,,,0.25,,0.41,0.52,0.47,,,0.37,,
              Virgaviridae,675071,2.15,0.63,1.37,0.46,0.62,1.64,0.42,0.64,0.19,1.16,0.65,30.08,26.23,35.23,18.71,19.62,18.64,6.29,39.01,16.52,26.34
              Secoviridae,675072,0.04,,,,,,,,,,,0.17,0.6,1.09,,0.64,,,0.93,,
              Genomoviridae,1910928,0.23,0.22,0.09,0.04,0.11,0.11,0.84,0.17,0.01,0.61,0.09,1.5,14.92,2.26,3.46,3.97,16.5,0.81,4.0,5.71,6.45
                Nairoviridae,1980415,,,,,,,,,,,,0.17,,,,,,,,,
              Smacoviridae,2169574,,,,,,,,,,,,,,,,,0.21,,,,
              Solemoviridae,2169577,0.04,,,,,,0.01,,,0.15,,0.77,1.88,1.4,1.63,0.99,0.86,,1.3,1.77,0.41
                Tobaniviridae,2508209,,,,,,,,,,,,0.17,,,,0.23,,,,,
              Drexlerviridae,2731691,0.04,,,,,,,,,,,0.19,,,,0.21,,0.55,0.28,,
              Duinviridae,2842318,,,,,,0.07,,,,,,,0.24,0.45,0.38,0.21,,,,0.78,0.78
              Fiersviridae,2842319,0.13,,,,,0.23,,,,,,1.29,,1.37,1.49,1.01,0.23,1.07,0.56,1.3,0.32
              Schitoviridae,2842329,0.12,,,,,,,0.14,,,,1.18,1.08,1.27,3.98,1.99,,1.5,0.7,1.33,0.38
              Steitzviridae,2842332,,,,,,,2.91,,0.01,,0.52,,0.44,0.39,0.35,,38.33,,0.23,0.3,4.05
              Crevaviridae,2942963,,,,,,0.04,,,,,,3.75,5.05,4.81,1.11,0.68,,1.01,0.75,1.28,1.01
              Intestiviridae,2942964,0.09,,0.08,,0.07,0.13,,0.46,,0.08,0.06,3.1,1.68,2.26,2.86,3.32,0.21,6.51,3.51,3.38,3.35
              Steigviridae,2942965,,0.03,0.05,0.03,,0.06,,,,,,1.82,1.32,1.72,2.44,3.54,,3.71,1.99,2.52,2.75
              Suoliviridae,2942966,0.25,0.06,0.22,0.13,0.17,0.31,0.02,0.89,,0.27,0.11,8.69,7.0,11.13,14.46,17.94,1.55,23.55,11.05,10.01,14.22
              Casjensviridae,2943001,0.47,,,0.03,0.03,0.1,,1.02,,0.38,,1.74,1.4,1.01,2.73,1.87,,4.07,1.15,1.75,1.01
              Duneviridae,2946157,,,,,,,,,,,,0.68,,,0.8,0.25,,0.33,,0.97,0.96
              Kyanoviridae,2946160,0.04,,,,,,,,,,,,,,,,,,,,
              Mesyanzhinovviridae,2946162,,,,,,,,,,,,,,,,,,0.85,,,
              Zierdtviridae,2946175,,,,,0.08,,,,,,,,,,,2.16,,0.36,,,
              Sedoreoviridae,2946186,,,,,0.13,,,,0.02,,,,,,,,,,,,
              Nenyaviridae,2946189,,,,,,,,,,,,,,,,,0.21,,,,
              Grimontviridae,3044466,,,,,,,,,,,,,,,,,,0.85,,,
              Hepeviridae,3079366,3.54,2.83,3.41,2.49,6.6,2.5,0.77,1.35,2.29,2.63,3.58,,,,,,,,,,
              Chimalliviridae,3152113,,,,,,,,,,,,0.17,,0.19,,0.31,,,,,
              Kanorauviridae,3152126,,,,,,,,,,0.15,,,,,,,,,,2.63,
              Andersonviridae,3424631,,,,,,,,,,,,,,,,,,1.66,,,
              Autonotataviridae,3424634,0.13,,,,,0.14,0.01,0.2,,0.3,,0.32,0.44,,0.97,0.27,0.65,0.55,0.35,1.11,0.55
              Lindbergviridae,3424659,,,,,,,,,,,,,,,,,,0.36,,,
              Sarkviridae,3424670,0.13,,0.03,,0.06,0.05,,0.71,0.02,0.13,,0.84,0.84,1.1,1.11,1.01,0.38,4.23,0.81,0.89,0.67
