name,taxid,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190
                  Simplexvirus,10294,,,,,,,,,,,,,,0.08
                  Mastadenovirus,10509,,,,,,,,,,,0.15,0.33,,0.09
                  Tequatrovirus,10663,,,,,,,,,0.09,,,,,
                  Enterovirus,12059,,,,,,,0.02,,0.09,0.06,,,,
                Sobemovirus,12137,,0.16,,,,,,,,0.1,,,,
                  Tombusvirus,12141,,,,,,,0.02,,,,,,,
                Potexvirus,12176,,0.84,2.95,1.82,2.58,0.64,0.36,0.74,1.19,1.71,0.6,0.52,0.52,0.66
                Tobamovirus,12234,54.9,68.85,53.38,59.57,52.69,81.07,92.13,68.04,70.86,74.28,50.1,51.21,48.49,61.15
                  Chlamydiamicrovirus,40274,,,,,,,0.02,,,,,,,
                  Teseptimavirus,110456,,,,,,,,,0.14,,,,,
                Norovirus,142786,,,,,,,,,,,,,0.16,0.14
                Alphanodavirus,143920,1.38,1.1,,0.39,0.51,0.83,0.19,0.31,0.21,0.17,0.3,0.27,0.24,0.63
                Chlorovirus,181083,,,,,,,,,0.12,0.05,0.74,0.14,,
                  Aureusvirus,186457,,,,,,,0.02,,,,,,,
              Punavirus,186789,,,,,,,,,,0.07,0.28,0.15,,
              Lederbergvirus,186794,,,,,,,,,,0.1,,,,
                  Kobuvirus,194960,,,,,,,,,,,,,,0.12
                Maculavirus,249185,,,,,,,,,,0.08,,,,
                Mamastrovirus,249588,,,,,,,,,,0.1,0.29,0.4,0.23,0.27
              Rauchvirus,542959,,,1.28,,,,,,,,0.11,0.11,0.18,
              Uetakevirus,542960,1.1,0.33,,,1.57,,0.05,0.16,0.13,0.14,0.35,0.3,0.3,0.26
            Betabaculovirus,558017,6.77,,,,,,,,,,,,,
                Kuravirus,680277,,,,,,,,0.11,0.1,0.08,0.41,0.26,0.69,0.28
                  Salivirus,688449,,,,0.42,,,0.02,,,0.13,,,,
                    Betacoronavirus,694002,,,,0.35,,,,,,,,,,
                Cyclovirus,742914,,0.28,,,0.54,,0.07,0.14,0.12,0.15,0.47,0.2,,
                  Felixounavirus,1198140,,,,,,,,,,0.06,,,,
                  Bocaparvovirus,1507401,,,,,,,0.02,,,,0.26,,,
                Gemycircularvirus,1542744,,1.04,,,,,0.11,0.16,,,0.18,1.26,0.27,0.24
              Cheoctovirus,1623281,,,,,,,,0.32,,,,,0.52,
              Corndogvirus,1623285,,,0.68,1.65,1.04,1.33,,0.13,,,0.19,,,
              Pegunavirus,1623295,,0.24,,,0.34,,,,,,,,,
              Skunavirus,1623305,0.9,0.29,,0.97,0.7,,0.09,0.31,0.42,0.34,1.86,1.99,0.69,0.92
                  Alphatrevirus,1910951,,,,,,,,,,0.08,,,,
                  Gequatrovirus,1910952,,,,,,,,,,,0.13,,,0.18
                  Jerseyvirus,1910991,,,,,,,0.02,0.14,0.12,0.06,,,0.23,0.12
                  Kagunavirus,1910992,6.17,1.78,3.24,2.28,3.91,,0.19,2.0,1.41,0.83,2.13,1.17,1.1,1.36
                  Cornellvirus,1910993,1.58,0.33,,,,,0.04,0.4,0.22,0.07,0.28,0.41,0.52,0.17
                  Alphacarmovirus,1911599,,0.24,,,,,0.02,,,0.05,,0.16,,0.21
                  Gammacarmovirus,1911601,1.65,4.08,3.95,3.19,6.42,1.59,1.73,4.54,3.5,3.13,0.14,0.58,0.19,0.71
              Certrevirus,1914850,,,,,,,,,,0.05,,,,
              Seunavirus,1914851,,,,,,,,,,0.05,,,,
              Obolenskvirus,1915205,,,,,,,0.04,0.24,0.23,0.09,,0.11,0.18,0.09
                  Gamaleyavirus,1920753,0.49,0.49,1.96,0.46,1.82,0.71,0.07,1.02,0.96,0.64,1.12,0.96,0.62,0.79
                  Drulisvirus,1920774,1.02,0.37,2.0,1.05,1.22,,0.09,0.66,0.38,0.26,0.95,0.71,0.72,0.53
                Webervirus,1920860,1.2,0.91,3.14,2.42,3.26,1.53,0.15,1.84,1.25,0.73,0.87,0.68,0.8,0.5
                Gemykibivirus,1941236,1.74,3.05,1.05,10.59,1.56,4.53,1.91,2.66,1.52,1.24,2.72,5.8,4.42,3.14
              Mudcatvirus,1982088,,,,,,,,,,0.06,,,,
              Gordonvirus,1982152,,,,,,,,,,,,,,0.08
              Pepyhexavirus,1982367,,,,,,,,,,,0.23,,,0.1
              Roufvirus,1982370,,,,,,,0.02,,0.12,0.12,0.11,0.19,,0.11
                  Johnsonvirus,1982576,,,,,,,,,,,,0.12,,
                Gemygorvirus,1985366,,0.18,,,,0.89,0.03,,,,,0.21,,
                Gemykrogvirus,1985367,,0.72,,0.6,,,0.05,0.16,0.13,0.06,,0.11,,
                  Przondovirus,1985720,,0.34,1.19,0.95,0.51,,0.04,0.38,0.24,0.16,0.41,0.43,0.45,0.19
                  Pradovirus,1985733,,0.25,0.81,1.26,0.82,,0.06,0.37,0.21,0.18,0.22,0.24,0.16,0.12
          Pandoravirus,2060084,,,,,,,,,,0.13,0.56,,0.47,0.39
              Limdunavirus,2169621,,,,,,,0.02,,,0.06,,,,0.07
                  Ithacavirus,2169643,,,,,,,,,,,0.18,0.14,0.22,0.09
              Brunovirus,2560108,,0.18,,,,,,,,,0.15,,,
                  Ceetrepovirus,2560111,,0.15,,,,,0.03,0.13,0.12,0.05,,,,
              Fipvunavirus,2560132,,,,,,,,,,,0.12,,,
              Gustavvirus,2560144,,,,,,,,0.18,,,0.13,,,
                Locarnavirus,2560169,,,,,,,,,,,,0.39,3.58,1.47
                  Phimunavirus,2560202,,,,,,,,,,,0.14,,0.47,0.07
              Popoffvirus,2560208,,,,,,,,,,,0.15,0.14,0.48,0.08
              Rimavirus,2560214,,,,,,,,,,0.05,0.13,,,
                Sanovirus,2560222,,,0.48,,,,,,,,,,,
                Gajwadongvirus,2731941,,0.18,,,,,,0.13,0.08,0.05,0.24,0.16,1.26,0.21
                  Apdecimavirus,2732676,0.49,,0.76,,,,,0.32,0.15,,0.24,0.33,0.47,0.13
                  Foetvirus,2732682,,,,,,,,,,,,,0.23,
                  Kayfunavirus,2732686,,0.17,0.76,,,,0.02,0.25,0.14,0.13,0.45,0.57,0.45,0.32
                  Teetrevirus,2732693,,,,,,,,0.16,,,,0.12,,
                  Kotilavirus,2732921,,,,,,,,,,,0.12,,0.25,0.07
                  Stompvirus,2732922,0.45,0.19,,,,,0.02,,,,0.6,0.48,1.21,0.39
                  Carltongylesvirus,2732960,,,,,,,,,,,0.12,,0.19,
                  Pahsextavirus,2732963,,,,,,,,,,,0.12,,,
                Derbicusvirus,2733102,,,,,,,0.02,,,,,0.12,,
              Xuquatrovirus,2733151,,,,,,,,,,,0.14,,,0.07
                Bertelyvirus,2733152,,,,,,,,,,,,,0.26,0.08
              Lanavirus,2733185,,,,,,,,,,,,,0.15,
                Metamorphoovirus,2733195,,,,0.35,,,0.02,,,0.06,,,,0.09
                  Pefuambidensovirus,2733227,,,,,,,0.1,0.22,0.23,0.14,0.18,,,
                  Protoambidensovirus,2733228,,,,,,,,,,0.06,,,,
                  Hepanhamaparvovirus,2733232,,,,,,,0.22,,,,,,,
                Kujavirus,2841277,,,,,,,,,,,,,,0.11
                Alehxovirus,2842364,,,,,,,,,,,,0.13,,0.13
                Ashucavirus,2842389,,0.18,,,,,,,,,,,,
              Akonivirus,2842540,0.67,0.24,1.05,,0.88,,0.02,0.34,0.13,0.08,0.17,0.16,0.19,0.2
                  Aorunvirus,2842545,,,,,,,,,,,,,,0.1
                Cbunavirus,2842586,1.42,0.51,,,,,0.04,0.32,0.43,0.2,1.06,1.17,1.9,0.76
                Chimpavirus,2842596,,,,,,,0.06,,0.08,0.05,,0.48,,0.16
                  Enterogokushovirus,2842667,,,,,,,,,,0.05,,,,
                Gihfavirus,2842702,,,,,,,0.03,,,,,,0.14,
              Henunavirus,2842727,,,,,,,,,,,,,0.23,0.07
                  Henuseptimavirus,2842728,,,,,,,,,,0.06,,,,
                Hihdivirus,2842731,,,,,,,0.02,,,,,0.19,0.18,0.16
                Icumivirus,2842754,,,,,,,0.03,0.16,,0.09,,,,
                  Inbricusvirus,2842758,,,,,,,,,,,0.15,,,0.1
                Ineyimevirus,2842759,,,,,,,,,,,,,0.64,0.84
                Ishugivirus,2842767,,,,,,,0.03,,,,0.12,0.13,0.42,0.55
                  Kaypoctavirus,2842786,,,,,,,0.03,0.27,0.25,0.22,0.16,,,0.14
                Kemicevirus,2842792,0.45,0.47,,,,,0.08,0.15,0.31,0.07,0.26,0.37,0.18,0.39
              Kenoshavirus,2842796,,0.21,,,0.44,,,,,0.07,0.16,0.17,,0.12
                Kinglevirus,2842802,,,,,,,0.02,,,0.06,,0.13,0.26,
                Kohmavirus,2842807,,0.32,,,,,0.04,,,,0.15,0.62,0.39,0.24
                Kowinovirus,2842810,,,,,,,0.02,,,,,,,
                Littlefixvirus,2842828,,,,,,,,,,,,0.75,,
              Mydovirus,2842888,,0.15,,,,,0.03,0.18,0.15,0.23,0.17,0.15,,0.18
                Nehpavirus,2842897,,,,,,,0.03,,,,0.22,0.37,0.38,0.16
                Paysduvirus,2842943,,,,,,,,,0.08,0.05,,,,
                Perrunavirus,2842953,,0.21,,,,,,,,,,,,
                  Pylasvirus,2842993,,,,,,,,0.15,0.19,0.14,0.24,0.17,0.28,
                  Sabourvirus,2843014,,,,,,,,,,,,,0.19,0.08
                Sholavirus,2843039,,0.18,,,,,,,,,0.11,0.16,0.24,0.09
                Teciucevirus,2843073,,,,,,,,,,,,,0.18,
              Astrithrvirus,2843350,,,,,,,0.04,,0.13,0.07,0.39,0.37,0.46,0.28
              Audreyjarvisvirus,2843351,,0.28,,,,,,0.15,0.46,0.28,3.79,2.5,1.57,0.67
              Burrovirus,2843362,2.63,1.49,3.66,2.7,3.47,1.53,0.05,1.37,0.61,0.36,1.01,0.54,0.62,0.5
              Klausavirus,2843401,,,,,,,,,,,,,0.14,
              Lastavirus,2843414,,,,,,,,,,,,,0.15,
              Lillamyvirus,2843418,,,,,,,,,,,,,0.16,0.1
              Muminvirus,2843426,,,,,,,,,,0.26,0.5,0.57,0.53,0.44
              Plateaulakevirus,2843436,,,,,,,,,,,0.13,,0.2,
              Questintvirus,2843441,,,,,,,,,,,0.18,,,
              Takahashivirus,2843463,,,,,,,,,,0.05,,,,
                Yonseivirus,2843478,0.45,0.31,1.9,0.6,0.78,,0.04,0.43,0.21,0.26,0.18,0.16,0.15,0.13
                  Kahnovirus,2942979,0.67,0.22,0.62,,0.41,,0.03,0.3,0.57,0.42,0.39,0.34,0.42,0.42
                  Kehishuvirus,2942980,2.18,1.27,1.57,1.43,1.99,0.76,0.26,1.56,1.9,2.29,3.53,3.13,2.24,3.15
                  Paundivirus,2942981,,,,,,,,,0.1,0.05,,,,0.1
                  Wulfhauvirus,2942982,,,,,,,,,,0.06,,,,0.07
                  Afonbuvirus,2942989,,0.32,0.48,0.39,0.61,,0.04,0.23,0.39,0.52,0.78,0.93,0.79,0.81
                  Canhaevirus,2942990,,,,,,,0.02,,0.12,0.14,0.23,0.12,0.19,0.1
                  Cohcovirus,2942991,,,,,,,0.02,,0.15,0.13,0.25,0.25,0.19,0.24
                  Culoivirus,2942992,,,,,,,,,,0.05,0.12,,,
                  Blohavirus,2942993,,0.25,,,,,0.03,0.26,0.29,0.2,0.57,0.43,0.41,0.36
                  Buchavirus,2942994,,,0.48,,0.44,,0.04,0.18,0.38,0.24,0.61,0.48,0.48,0.55
                Salvovirus,2943016,1.96,1.49,4.95,2.98,2.99,1.91,0.08,1.17,0.59,0.35,0.32,0.36,0.22,0.35
                Sharonstreetvirus,2943019,0.45,,,,0.48,,,,0.11,0.06,0.11,,,0.11
              Swiduovirus,2944849,,,,,,,0.02,,,0.06,,,,
                  Aurodevirus,2946811,0.89,0.34,,0.46,0.54,,0.04,0.35,0.33,0.54,0.95,0.79,0.75,0.82
                  Besingivirus,2946821,,,,,,,,,,,0.16,,,0.07
                  Birpovirus,2946830,,,,,0.37,,,,0.15,0.14,0.26,0.2,0.26,0.22
                  Bohxovirus,2946832,,,,,,,,,0.09,0.06,,,,0.08
                  Buhlduvirus,2948643,,,,,,,,,,,,,,0.1
                  Buorbuivirus,2948644,,,,,,,0.02,0.18,0.23,0.21,0.35,0.23,0.29,0.34
                  Burzaovirus,2948645,1.2,0.99,1.71,0.84,1.77,0.76,0.06,1.0,1.28,1.16,2.67,2.4,2.29,1.81
                  Carjivirus,2948652,0.71,0.51,1.81,1.09,1.97,1.21,0.04,0.46,0.73,0.89,1.57,1.67,1.44,1.09
                  Chuhaivirus,2948663,,,,,,,,,,0.05,,0.15,,
              Deseoctovirus,2948678,,,,,,,0.02,0.17,,0.1,0.13,,0.14,0.13
                  Drivevirus,2948684,,,,,,,,,,0.06,,,0.14,0.12
                Efbeekayvirus,2948690,3.83,1.31,1.24,0.74,1.97,0.7,0.28,1.89,2.56,1.26,3.5,3.81,3.74,1.73
                  Endlipuvirus,2948697,,,,,,,,,,,,,,0.07
                Exceevirus,2948704,,,,,,,,,,0.06,,,,
                  Jahgtovirus,2948767,,,,,,,,0.16,0.19,0.18,0.3,0.34,0.38,0.21
                Jamesmcgillvirus,2948768,,,,,,,,,0.09,,,,,
              Justusliebigvirus,2948775,,,,,,,,,,,,,,0.09
                  Kingevirus,2948785,,,,,,,,,,0.1,,0.2,,0.17
                  Kolpuevirus,2948787,,0.29,0.57,0.46,0.53,,0.05,0.35,0.42,0.36,0.86,0.7,0.49,0.65
              Kunmingvirus,2948791,0.57,,,,,,,,,,0.35,0.28,1.05,0.27
                  Lahndsivirus,2948793,,,,,,,,,,0.05,,,,
                  Lebriduvirus,2948797,,,,,,,0.02,,0.08,0.13,0.22,0.19,,0.1
                  Mahlunavirus,2948812,,,,,,,,,,0.07,,,,0.09
                  Mahstovirus,2948813,,,,,,,0.02,,,0.08,0.2,0.12,,0.17
              Segzyvirus,2948900,,,,,,,,,,,0.12,,,
              Shuimuvirus,2948906,,,,,,,0.03,,,,,,,
              Skatevirus,2948910,,0.58,,,,,0.06,0.59,0.38,0.23,0.29,0.3,0.2,0.23
                Triduovirus,2948933,1.34,0.62,0.71,,0.37,,0.09,0.65,0.79,0.51,1.06,0.93,0.73,0.81
                Valinorvirus,2948943,,,,,,,0.06,0.21,0.19,0.18,0.18,,0.18,0.22
              Axeltriavirus,3044667,,,0.48,,,,,0.15,,,,,,
              Cobrasixvirus,3044690,0.76,0.36,1.17,,0.48,,0.03,0.27,0.16,0.07,0.26,0.12,0.28,0.15
                  Moovirus,3044769,,0.19,,,,,0.02,0.14,0.14,0.07,0.53,0.29,0.53,0.19
              Quivirus,3044799,,,,,,,,,0.08,,,,,
              Bimevirus,3152907,,,,,,,,,,,,,0.23,
              Geezettvirus,3152909,,,,,,,,,,,0.14,,,
                  Longwangvirus,3153014,,,,,,,,,,,0.47,0.45,0.84,0.19
              Shockervirus,3153082,,,,,,,,,,,,,,0.1
