name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273
              Oengusvirus,2733199,0.07,,,0.1,,,,,,,,,,,
                Quhwahvirus,2733202,,0.12,,,,,,,,,,,,,
              Sashavirus,2733210,,0.22,,,,,,,,,,,,,
              Schubertvirus,2733212,0.39,0.2,0.11,0.2,,0.25,1.05,0.26,,0.15,,0.26,,0.13,
              Seussvirus,2733213,,,,,,,,,,,,,0.16,,
                  Chaphamaparvovirus,2733231,,,,0.1,,,,,,,,,,,
                  Fadolivirus,2763561,,,0.09,,,,,,,,,,,,
                Alehxovirus,2842364,,,,0.07,1.16,,0.69,,,3.59,,,,,
                Anchaingvirus,2842373,,0.1,0.1,0.13,,,,,,,,,,,
                Apeevirus,2842379,0.26,0.87,1.02,0.51,1.58,1.08,0.97,0.48,,0.25,0.15,0.71,0.4,0.26,0.95
              Akonivirus,2842540,0.27,0.27,0.31,0.21,,0.29,0.44,,0.27,0.13,,,,0.26,
                  Aorunvirus,2842545,,,,0.15,,,,,,,,,,,
                Cbunavirus,2842586,1.46,3.19,2.63,0.85,2.44,1.84,2.32,1.63,0.77,0.92,1.17,1.01,1.18,0.73,0.6
                Citrovirus,2842608,,0.07,,,,,,,,,,,,,
                  Claudivirus,2842609,0.1,,,0.11,,,,,,,,,,,
                Dendoorenvirus,2842641,0.09,,,0.08,,,,,,,,,,,
                  Dongdastvirus,2842653,0.11,0.09,0.09,0.17,,,,,,,0.2,,0.12,,
                Eceepunavirus,2842661,0.07,0.07,0.19,0.09,,0.23,,,,,,,,0.15,
                Emesvirus,2842664,,1.29,0.27,,,0.15,,,,,,,,,
                Gihfavirus,2842702,,,,,,,,,,,,0.28,0.18,,
                Hagavirus,2842717,,,0.1,,,,,,,,,,,,
              Henunavirus,2842727,,0.08,,,,0.15,,,,,,,,,
                Hihdivirus,2842731,,0.62,0.12,,,,0.22,,,0.6,,,,0.11,
                Hohrdovirus,2842736,,,,0.08,1.9,,0.26,,,,,,,,0.29
                Hopescreekvirus,2842737,0.52,0.36,0.47,0.31,,0.53,0.38,0.26,0.29,0.24,,0.19,0.11,0.15,0.48
                Huelvavirus,2842739,,,,0.07,,,,,,,,,,,
                  Inbricusvirus,2842758,0.18,0.64,0.16,0.17,,,,,,0.13,0.16,,0.17,,
                Ishugivirus,2842767,0.07,3.22,0.74,0.1,,0.29,0.34,0.36,,0.32,,,,,0.29
                  Kaypoctavirus,2842786,0.2,0.09,,0.1,,0.3,,,,,,,,,
                Kemicevirus,2842792,0.19,0.22,0.22,0.12,4.65,0.17,0.52,0.42,0.31,0.35,,0.22,0.19,0.19,0.18
              Kenoshavirus,2842796,0.18,0.15,0.14,0.2,,,,,,,,0.21,0.15,0.18,
                Kinglevirus,2842802,,0.07,,,,,,,,,,0.39,0.53,,0.38
                Kowinovirus,2842810,,0.08,,,,,,,,,,,,,
                  Lasallevirus,2842819,,,,,,,,,,,,,0.27,,
                Littlefixvirus,2842828,,,0.08,0.1,,,,,,,,0.22,,0.59,
                Luthavirus,2842838,,,,,,,,,,0.97,,,,,0.18
                Mahraivirus,2842846,,0.07,,,,,,,,,,,,,
              Manuelvirus,2842852,,0.1,,,,,,,,,,,,,
                  Matsuvirus,2842857,,0.06,,,,,,,,,,,,,
                Mekintivirus,2842861,0.09,,,0.08,,,,,,,,,,,
                Melvirus,2842862,,,,,,,,,,,,,0.13,,
                Mintuvirus,2842872,,,,,,,,,,,0.51,,,,
                Mooreparkvirus,2842881,,,,,,0.15,,,,,,,,,
              Mydovirus,2842888,0.18,0.1,0.13,0.21,,0.31,,,,0.19,,,,,
                Nehpavirus,2842897,0.09,0.36,0.22,0.09,14.89,,3.07,0.8,,0.96,,,,0.19,0.31
              Nochtlivirus,2842908,,0.18,,,,,,,,,,,,,
                Pacinivirus,2842934,,0.07,0.09,0.08,,0.16,,,,,,,,,
                Paundecimvirus,2842942,0.07,0.17,,0.12,,,,,,,,,,,
                Paysduvirus,2842943,0.6,0.14,,0.78,7.81,,1.21,,,,,,,0.51,0.29
                Pokkenvirus,2842972,0.13,0.1,0.12,0.1,,,,,,,,,0.29,0.14,
                  Pollockvirus,2842973,,0.12,0.18,0.14,,,,,,,,,,,0.6
                  Pourcelvirus,2842976,0.14,0.13,0.11,0.16,,,,,,,0.24,,0.18,,
                Presleyvirus,2842977,0.18,0.17,0.23,,,0.2,,0.24,,,,,,,
                Pseudotevenvirus,2842979,0.4,0.13,0.09,,,0.16,0.37,,,,,,,,
                  Pylasvirus,2842993,0.25,0.56,0.33,0.29,,0.5,0.79,0.42,0.23,1.15,,,,0.13,
                Qubevirus,2842995,0.07,,,,,,,,,,,,,,
                  Raunefjordenvirus,2843000,,,,,,,,,,,,,,,0.18
                Riverridervirus,2843008,0.09,,0.1,,,,,,,,,,,,
                  Sabourvirus,2843014,0.39,0.53,0.42,0.33,,0.62,0.63,0.24,,,,0.24,0.23,0.35,0.26
                Salinovirus,2843017,,0.08,,,,,,,,,,,,,
                Stehlmavirus,2843058,,,,,,,0.22,,,,,,,,
                  Stoningtonvirus,2843060,,,0.09,,,,,,,,,,,,
                Ticahravirus,2843092,,0.57,0.38,,,,,,,,,,,,
              Tinytimothyvirus,2843096,0.23,,0.14,0.1,,,0.22,,,,,,,0.15,
                Waedenswilvirus,2843122,0.16,0.15,0.2,0.14,,0.17,,,,0.14,,,,0.16,
                Wahdswovirus,2843124,,0.07,,,,,,,,,,,,,
              Yautsimvirus,2843147,,0.19,,,,,,,,,,,,,
                  Yonginvirus,2843155,0.09,0.08,0.13,0.08,,0.19,0.34,,,,,,0.16,,
                Zicotriavirus,2843161,0.08,0.13,0.08,0.13,,,,,,,,,,,
                Zurivirus,2843162,0.07,,0.1,0.09,,,,,,,0.32,0.26,0.22,,
              Aguilavirus,2843343,,0.21,,,,,,,,,,,,,
              Astrithrvirus,2843350,0.52,0.67,0.66,0.82,,1.81,1.41,0.52,0.31,0.4,0.25,0.54,0.37,0.43,0.48
              Audreyjarvisvirus,2843351,4.99,0.7,4.17,4.5,5.59,4.1,1.94,1.75,1.82,0.76,0.65,0.6,0.39,2.63,1.83
                Bcepfunavirus,2843356,,,,,,,,,,,0.48,,,,
              Burrovirus,2843362,1.97,0.9,1.49,2.64,1.8,1.3,1.67,1.47,1.22,0.79,0.38,0.99,0.7,1.37,1.7
              Chopinvirus,2843365,0.2,0.07,0.12,0.09,,0.34,,,0.23,,,,,0.18,0.44
              Cimandefvirus,2843366,0.15,0.13,0.19,0.12,,,,,0.64,,,,,,
              Fremauxvirus,2843383,1.05,0.21,0.85,0.99,,2.08,0.52,0.27,0.58,,0.17,,0.11,0.97,1.32
              Hattifnattvirus,2843390,,0.15,,,,,,,,,,,,,
                Labanvirus,2843408,,0.07,0.14,,,,,,,,,,,,
              Lafunavirus,2843410,,,0.1,,,,,,,,,,,,
                Lahexavirus,2843411,,,,,,,,,,,0.57,,,,
              Lastavirus,2843414,0.24,0.23,0.33,0.5,,0.29,0.6,,0.21,0.18,,,,0.11,0.2
              Lillamyvirus,2843418,0.12,0.66,0.17,0.29,,0.34,0.39,,,,,,,,
              Moturavirus,2843423,,0.07,0.17,,,,,,,,,,,,
              Muminvirus,2843426,1.02,1.59,1.11,0.66,,1.56,1.87,,,6.1,,1.43,0.79,0.7,0.82
              Nevevirus,2843430,,0.08,,0.08,,0.15,,,,,,,,,
              Parlovirus,2843433,0.07,0.11,0.21,0.09,,,,,,,0.29,,,,
              Plateaulakevirus,2843436,0.18,1.19,1.08,0.6,,1.25,0.75,0.26,,0.37,0.14,,,0.16,0.42
              Predatorvirus,2843439,,,,,,,,0.24,0.46,,,,,,
                Privateervirus,2843440,,0.06,,,,,,,,2.72,,,,0.14,
              Sandinevirus,2843449,0.61,0.22,0.8,0.46,,1.66,0.38,,0.32,0.19,,,,0.87,0.63
              Shandongvirus,2843454,0.12,,,0.12,,,,,,,,,,,
              Teubervirus,2843466,0.72,0.31,0.76,0.38,1.16,0.51,0.26,1.08,1.35,0.26,0.29,0.54,0.5,0.33,0.29
              Vedamuthuvirus,2843470,0.11,,,0.08,,,,,,,,,,,
                Yonseivirus,2843478,0.69,0.69,0.9,0.52,,1.13,0.42,0.36,0.79,0.42,,0.26,0.17,0.46,0.62
                  Kahnovirus,2942979,0.47,0.35,0.41,0.45,,0.5,0.6,0.28,1.2,0.52,0.14,0.51,0.19,0.47,0.35
                  Kehishuvirus,2942980,0.31,0.57,0.49,0.53,,0.6,1.08,0.58,0.7,1.09,0.2,0.73,0.36,0.33,0.48
                  Paundivirus,2942981,0.08,,,0.08,,,,,,,,,,,
                  Afonbuvirus,2942989,0.91,0.9,0.97,1.14,,0.67,0.89,0.64,1.1,1.26,0.14,1.2,0.53,0.72,0.93
                  Canhaevirus,2942990,0.24,0.18,0.38,0.24,,0.24,0.52,0.26,0.33,0.32,,0.36,0.22,0.16,0.2
                  Cohcovirus,2942991,0.24,0.25,0.42,0.45,,0.18,0.69,0.23,0.54,0.39,,0.31,0.2,0.3,0.42
                  Culoivirus,2942992,0.11,0.12,0.14,0.1,,0.17,0.24,,0.23,0.26,,,,0.11,
                  Blohavirus,2942993,0.67,0.45,0.71,0.93,,0.5,0.61,0.35,0.6,0.78,0.27,1.37,0.41,0.69,0.71
                  Buchavirus,2942994,0.33,0.25,0.34,0.33,,0.31,0.44,0.22,0.42,0.43,0.18,0.49,0.19,0.27,0.24
                Dunedinvirus,2943004,,0.08,,,,,,,,,,,,,
                Gediminasvirus,2943007,,,,,,,,,,,,,0.31,,
                Gwanakrovirus,2943008,,0.08,,0.08,,,,,,,,,,,
                Phobosvirus,2943014,,,,,,,,,,,,,0.26,,
                Salvovirus,2943016,0.66,0.13,0.25,0.59,,0.32,0.22,0.3,0.54,0.25,,,0.27,0.14,
                Seodaemunguvirus,2943017,,,,,,,,,,,,,0.67,,
                Sharonstreetvirus,2943019,1.51,0.24,1.07,0.93,1.8,1.62,0.52,0.3,0.64,0.28,1.29,0.36,0.22,0.85,0.79
              Anayavirus,2946797,,,0.1,,,,,0.28,,,,,,,
                  Aurodevirus,2946811,0.66,1.01,1.32,1.22,1.06,0.88,1.07,0.92,1.34,1.26,0.24,1.51,0.76,0.7,0.85
                  Birpovirus,2946830,0.47,0.23,0.45,0.51,,0.32,0.31,,0.47,0.4,,0.41,0.2,0.33,0.5
                  Buorbuivirus,2948644,0.19,0.22,0.31,0.21,,,0.27,0.29,0.22,0.43,,,0.2,0.14,0.21
                  Burzaovirus,2948645,7.37,3.64,6.61,5.76,5.17,3.13,2.74,2.13,6.91,4.41,0.73,4.27,3.77,5.63,6.27
                  Cacepaovirus,2948646,,,,,,,,,,,0.13,,,,
                  Carjivirus,2948652,9.54,3.47,7.06,9.09,6.97,6.0,8.71,2.73,7.14,6.69,1.67,8.12,3.87,7.79,5.96
                Chrysonvirus,2948662,,,,,,,,,,,,,0.15,,
                Cinqassovirus,2948665,,,,,,,,,,,,,0.15,,
                  Clownvirus,2948667,,,,0.08,,,,,,,,,,,
                  Dabirmavirus,2948671,0.26,0.08,0.26,0.26,,0.15,0.22,,0.27,0.32,,,,0.19,0.26
                  Diorhovirus,2948680,0.32,0.19,0.23,0.18,,,0.44,,0.21,0.15,,0.24,,0.11,
                  Drivevirus,2948684,,0.1,0.11,0.1,,,,,,,,,,,
                Duodecimduovirus,2948687,,,,,,,,,,,,0.23,,,
                  Delmidovirus,2948688,0.23,0.13,0.21,0.21,,0.19,0.2,,0.27,0.25,,0.24,0.12,0.21,
                Efbeekayvirus,2948690,1.02,1.23,0.95,0.85,,1.45,2.08,10.98,0.83,0.58,0.16,0.37,0.6,0.38,0.53
                  Endlipuvirus,2948697,0.27,0.12,0.19,0.17,,0.25,0.26,0.2,0.25,0.33,,0.19,,0.27,0.22
                Exceevirus,2948704,0.6,0.75,0.92,0.61,,0.99,0.67,0.32,0.48,0.45,0.27,0.22,1.96,0.33,0.68
                  Fohxhuevirus,2948709,0.53,0.25,0.41,0.39,,0.22,,0.2,0.44,0.5,,0.39,0.15,0.59,0.37
                  Hacihdavirus,2948736,0.11,,,,,,,,,,,,,,
              Harrisonburgvirus,2948755,,,,,,,,,,,0.8,,,,
                  Jahgtovirus,2948767,0.66,0.66,0.66,0.68,1.06,0.4,0.65,0.32,0.62,0.64,,0.79,0.42,0.42,0.59
                Jiangsuvirus,2948770,,,,,,,,,,,,,,,2.47
                  Junduvirus,2948774,0.3,0.11,0.29,0.33,,0.2,0.34,,12.79,0.18,,0.39,0.18,0.32,0.18
              Justusliebigvirus,2948775,,0.07,,,,,,,,,,,,,
                  Kingevirus,2948785,1.23,0.72,1.27,1.6,,0.99,1.98,0.64,1.18,1.36,0.23,1.59,0.95,1.14,1.08
                  Kolpuevirus,2948787,0.17,0.21,0.22,0.25,,0.17,0.35,,0.44,0.31,,0.25,,0.19,
              Kratiovirus,2948788,0.23,0.07,,,,,,,,,,,,,
              Kunmingvirus,2948791,0.42,0.74,0.58,0.62,,1.0,0.5,,,,0.21,,,0.18,0.3
                  Lebriduvirus,2948797,,0.06,,0.07,,,,,,,,,,,
              Lilmcdreamyvirus,2948802,,,,,,,,,,,,,0.16,,
                Lowelvirus,2948806,,,,,,,,,,,,0.28,,,
                  Mahlunavirus,2948812,,,,0.08,,,,,,,,,,,
                  Pamirivirus,2948854,0.07,,,0.07,,,,,,,,,,,
              Pharaohvirus,2948861,,,,,,,,,,,,,,0.13,
                    Tocinivirus,2948928,0.07,,,,,,,,,,,,,,
                Triduovirus,2948933,0.51,1.17,0.87,0.47,,0.96,0.67,0.62,,0.64,,,0.63,0.59,
                  Wotdevirus,2948953,0.09,,,,,,,,,,,,,,
              Incheonvirus,2976977,,0.06,,,,,,,,,,,,,
                  Acanvirus,3044653,0.11,,,,,,,,,,,,,,
              Carvajevirus,3044683,,,,,,,,0.5,,,,,,,
              Clawzvirus,3044689,0.08,,,,,,,,0.21,,,,,,
              Cobrasixvirus,3044690,0.23,0.47,0.49,0.35,,0.34,0.37,0.65,0.2,0.31,0.21,0.4,0.3,0.13,
                Ferozepurvirus,3044715,0.11,0.12,,,,0.67,,,,,,,,,
              Hiroshimavirus,3044731,0.14,,0.08,0.11,,,,,,,0.15,,0.35,,
              Ittyvirus,3044742,,0.14,0.2,0.13,,0.2,0.2,,,,0.63,,,,
                Kratosvirus,3044747,,0.2,,,,,,,0.23,,,,,,
                Ludhianavirus,3044751,,,,,,,,,,,,,,,0.22
                Miamivirus,3044763,0.28,0.17,,0.15,,0.26,0.2,,,,0.38,,,0.12,
                Miltoncavirus,3044765,,,,,,,,,,,,,,,0.26
                Moazamivirus,3044766,,0.1,0.37,,,3.28,,,,,,,,,
                  Moovirus,3044769,0.43,0.37,0.32,0.14,,0.72,0.22,0.92,,0.19,,,,0.2,
              Pavtokvirus,3044786,0.18,0.29,0.33,0.34,,0.48,0.34,,,,1.22,,,0.13,0.31
                Pawinskivirus,3044787,,,,,,,,,,,,,,0.14,0.48
                Phabiovirus,3044790,,,,,,,,,,,,,0.42,0.66,0.92
              Piorkowskivirus,3044792,0.11,,,0.13,,,,,,,,,,,
                Piscesmortuivirus,3044793,,,,,,0.15,,,,,,,,,
                Puahadnavirus,3044797,,,,,,,,,,1.49,,,,,
              Purivirus,3044798,,,,,,,,,,,,0.37,0.11,,0.26
              Quivirus,3044799,0.09,,,,,,,,,,,,,,
                Serwervirus,3044821,,,,,,,,,,,,,,0.12,2.99
                  Shantouvirus,3044823,,,,,,,,,,,0.25,,,,
              Skulduggeryvirus,3044832,,,,,,,,,,,0.16,,0.37,,
                Suseptimavirus,3044836,0.07,0.14,0.13,0.11,,0.17,0.26,,,,,,,,
                Tepukevirus,3044840,,,,,,,,,,,,,,0.15,
                Xoxocotlavirus,3044858,,,,0.07,,,,,,,,,,,
              Zhangjivirus,3044867,0.07,,,,,,,,,,,,,,
                  Moumouvirus,3080801,0.11,0.08,,0.13,,,,,,,,,,,
              Medeavirus,3152510,,,,,,,,,,,0.24,,0.22,,
                  Cinvestavvirus,3152598,0.11,0.13,0.17,0.09,,0.32,,,,,,,,,0.31
              Bugaksanvirus,3152615,,,,,,,,,,,0.24,,0.43,,
              Pumpernickelvirus,3152625,,,,,,,,,,,,,0.36,,
              Readingvirus,3152626,,,,,,,,,,,0.39,1.05,0.45,,
                  Commandariavirus,3152691,,,,,,,,,,,,0.32,,,
                  Dilongvirus,3152896,,,,,,,,,,,,,0.3,,
                  Kremarvirus,3152897,,,,,,,,,,,0.4,,1.15,,
                  Shenlongvirus,3152898,,,,,,,,,,,,,0.33,,
              Bimevirus,3152907,,0.11,,0.2,,,0.28,,,,,,,,
              Chaoyangvirus,3152908,,,,0.11,,,,,,,,,,,
              Geezettvirus,3152909,,0.09,,0.12,,,,,,,,,,,
              Mascletvirus,3152910,,,,0.09,,,,,,,,,,,
              Sircambvirus,3152913,,0.17,0.1,0.21,,,,,,,,,,,
              Zewailvirus,3152914,,0.11,,0.15,,,,,,,,,,,
              Hafyongvirus,3152967,,0.11,,,,,,,,,,,,,
              Haihevirus,3152968,,0.12,,,,,,,,0.23,,,0.17,,
              Miecznikowavirus,3152971,,,,0.07,,,,,,,0.3,0.41,0.54,,0.9
                Otakuvirus,3152972,,0.07,,,,0.32,,,,,,,,,
                Seretavirus,3152998,,0.08,0.11,,,0.15,,,,,,,,,
                  Longwangvirus,3153014,1.88,3.45,2.81,2.08,,4.14,2.52,0.57,0.47,0.33,31.33,0.69,0.29,2.55,0.99
                  Phayathaivirus,3153015,0.09,0.15,0.09,0.09,,0.22,,,,,1.23,,,0.16,
              Micathvirus,3153077,,,,,,,,,,,,,0.18,,
              Shangdongvirus,3153078,,,,,,,,,,,0.22,,,,
              Torvergatavirus,3153079,0.1,0.1,,0.07,,,0.22,,,,,,,,
              Shockervirus,3153082,0.07,0.58,0.29,0.28,,0.2,0.4,,,,,0.19,,,0.35
                Hodnevirus,3153200,,0.08,,,,,,,,0.19,,,,,
              Adrianbuildvirus,3424927,0.15,,,,,,,,,,,,,,
                  Ebriosvirus,3424957,0.73,0.07,,0.47,,,,,,,,,,,
                  Hennigervirus,3424959,,,,,,,,,,,,2.8,6.93,0.11,
                  Pfluvirus,3424962,,,,,,,,,,,,,,0.39,0.44
                  Risoevirus,3424972,,,,,,,,0.58,,2.84,,,,,0.22
