name,taxid,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
                  Varicellovirus,10319,,,,,,,,,,,0.02,,,,,
                  Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,
                  Mastadenovirus,10509,,0.34,,0.28,0.9,18.36,,0.29,0.12,0.44,9.99,,0.93,0.28,,
                  Tequatrovirus,10663,,,,,,,,,,,0.02,,,,,
                  Dependoparvovirus,10803,,,0.12,,,,,,,,,,,,0.13,
                    Morbillivirus,11229,,,,,,,,,,,0.04,,,,,
                  Orthobunyavirus,11572,,,,,,,,,,,0.02,,,,,
                  Enterovirus,12059,,,,0.58,0.45,,,,,,0.02,,,,,0.08
                Sobemovirus,12137,,,,,0.19,,,,0.68,,,0.32,,,,0.47
                  Carlavirus,12163,,,,,,,,,,,,,,0.08,,
                Tobamovirus,12234,5.86,0.81,0.96,1.17,2.74,0.21,6.17,3.95,4.38,35.07,0.19,4.03,27.52,3.21,0.7,3.82
                  Comovirus,12258,,,0.37,,0.29,,,,,,,,,,0.35,
                  Teseptimavirus,110456,,,,,0.36,0.58,,,,0.21,0.65,,,,,
                Allexivirus,140568,,,,,,,,,,,,,,,,0.1
                Norovirus,142786,,0.39,0.42,,1.65,,,,,,0.02,,,,0.31,
                Cripavirus,144051,,,,,0.27,,,,,,0.03,,,,,
                Chlorovirus,181083,,,,,,,,,,,0.03,,,,,
              Ceduovirus,186532,,0.15,,,,,,,,0.12,0.09,,,,,
              Fromanvirus,186764,,,,,,,,,,,0.04,0.23,,0.09,,
              Punavirus,186789,,,,,,,,,,,0.04,,,,,
              Lederbergvirus,186794,,,,,,,,,,0.22,,,,,,
                  Tunavirus,187217,,,,0.28,,,,,,0.32,,,,,,
                  Tequintavirus,187218,,,,,,,,,,,0.04,,,,,
                  Kobuvirus,194960,2.12,,,,,,,,,,,,,,,
                Mamastrovirus,249588,,0.63,0.48,0.5,2.51,0.24,,0.16,0.61,,0.24,,2.41,,0.35,0.54
                  Mimivirus,315393,,,,,,,,,,0.09,0.04,,,,,
              Rauchvirus,542959,,,0.14,,,,,,,0.08,0.07,,,,0.06,0.12
              Uetakevirus,542960,,,,,,,,,,,0.07,,,,,
                  Percavirus,548688,,,0.12,,,,,,,,,,,,,
            Alphabaculovirus,558016,,,,,,0.22,,,0.15,0.07,0.13,,,,0.08,0.15
            Betabaculovirus,558017,,,,,,,,,,,0.02,,,,,
              Bixzunavirus,680114,,,,,,,,,,,0.02,,,,,
                Kuravirus,680277,0.56,,0.18,,0.18,,,0.19,0.44,0.23,0.05,,0.32,0.08,0.24,0.43
                  Salivirus,688449,8.43,,,,,,,,,,,,,0.07,,0.1
                    Betacoronavirus,694002,0.56,,,,,,,,,,,,,,,
                Cyclovirus,742914,5.47,31.23,18.74,21.95,19.54,2.79,9.73,30.71,15.32,18.38,3.84,41.75,28.89,25.74,12.0,22.21
                  Felixounavirus,1198140,,,,,,1.08,,,,,1.44,0.47,,,,0.08
                  Yuavirus,1299429,,,,,,,,,,,0.04,,,,,
                  Hunnivirus,1431456,,,,,,,,0.1,,,,,,0.09,,
                  Bocaparvovirus,1507401,,,,,0.72,,,3.48,,0.08,,,,2.86,,
                Gemycircularvirus,1542744,1.34,,0.1,,,,0.69,,,,,,,0.06,0.08,
              Bignuzvirus,1623277,,,,,,,,,,,0.01,,,,,
                  Bronvirus,1623278,,,,,,,,,,,0.04,,,,,
              Charlievirus,1623280,,,,,,,,,,,0.02,,,,,
              Cheoctovirus,1623281,,,,,,0.41,,,0.48,0.24,0.15,,,,,0.3
                Chivirus,1623283,,,0.08,,,,,,0.52,,,,,,,0.26
              Corndogvirus,1623285,,,,,,,,,,,0.02,,,,,
              Liefievirus,1623288,,,,,,,,,,,0.02,,,,,
              Dhillonvirus,1623289,,,,,,0.17,,,0.16,,0.12,,,,,0.08
                Brussowvirus,1623303,,,0.35,0.34,,,,,,,0.08,,,0.11,0.19,
                Moineauvirus,1623304,,,,,,,,,,,0.06,,,,,
              Skunavirus,1623305,,0.36,0.33,0.36,0.29,0.22,0.7,0.14,0.13,0.15,0.21,0.38,0.12,0.08,0.28,0.17
                  Mammarenavirus,1653394,,,,,,,,,,,,,,,0.08,
              Lessievirus,1720323,,,,,,,,,,,0.03,,,,,
              Hollowayvirus,1720324,,,,,,,,,0.17,0.11,0.06,,,,,
                  Kayvirus,1857843,,,,,,,,,,,0.02,,,,,
                  Sinsheimervirus,1910954,,,,,,,,,,,0.03,,,,,
                  Jerseyvirus,1910991,,0.59,0.19,,,,,0.56,0.83,0.13,0.03,0.25,,0.3,0.21,0.71
                  Kagunavirus,1910992,2.01,5.82,0.58,0.56,0.31,0.28,,1.28,8.04,0.45,0.39,1.29,0.96,0.88,1.43,7.84
                  Cornellvirus,1910993,,0.98,0.56,,0.31,,,1.96,1.0,0.38,0.08,1.03,0.26,1.33,0.57,0.55
                  Gammacarmovirus,1911601,,,,,0.43,,,,,,,0.26,0.18,,,
                  Mosigvirus,1913652,,,,,,,,,,,0.02,,,,,
                  Gelderlandvirus,1913653,,,0.12,,,,,0.14,,,0.13,,,,0.1,
                  Gaprivervirus,1913654,,,,,,,,,,,0.02,,,,,
                  Dhakavirus,1914165,,,,,,,,,,,0.03,,,,,
              Certrevirus,1914850,,,,,0.23,,,,,,0.03,,,0.05,,
              Vequintavirus,1914852,,,,,,0.51,,,,,0.36,,,,,
              Obolenskvirus,1915205,,,0.22,,,,,0.31,0.52,0.08,0.03,,0.26,1.13,0.21,0.35
                  Gamaleyavirus,1920753,,1.1,0.19,6.65,0.45,,,0.54,0.26,0.28,0.12,0.14,0.17,0.51,0.16,0.17
                  Drulisvirus,1920774,1.06,1.64,0.95,0.37,0.26,0.95,0.21,1.13,0.88,0.41,1.51,0.47,0.36,1.07,0.58,0.51
                Webervirus,1920860,1.34,2.17,0.47,10.43,1.48,1.48,3.4,1.27,1.37,2.01,1.24,1.0,0.79,1.28,0.21,1.34
                  Tlsvirus,1920865,,,,,0.16,,,,,,0.07,,,,,
              Nonanavirus,1921122,,,0.37,,,,,,,,,,,,0.32,
              Septimatrevirus,1921544,,,,,,0.17,,,0.12,0.07,0.1,,,,,
                Gemykibivirus,1941236,,0.56,0.16,0.58,13.66,,,0.29,0.15,0.06,0.1,0.44,0.18,0.22,0.15,0.26
                  Sepunavirus,1980928,,,,,,,,,,,0.03,,,,,
              Korravirus,1982076,,,,,,,,,,,0.01,,,,,
              Mudcatvirus,1982088,,,,,,,,,0.12,0.08,0.14,,,,,0.11
                  Abidjanvirus,1982095,,,,,,,,,,,0.02,,,,,
              Gordonvirus,1982152,,,,,,0.15,,,0.12,0.07,0.13,,,,,0.12
              Gordtnkvirus,1982218,,,,,,,,,,,0.01,,,,,
              Nipunavirus,1982239,,0.2,,,,,,,,0.06,0.05,,,,,
              Pahexavirus,1982251,,,,,,,,,,,0.02,,,,,
              Pepyhexavirus,1982367,,,0.09,,,0.17,,,0.14,0.13,0.17,,,0.08,,0.11
              Roufvirus,1982370,,,,,,,,0.13,,,,,,,,
                  Johnsonvirus,1982576,,,,,,,,,,,0.02,,,,,
              Likavirus,1982880,,,,,,,,,,,0.03,,,,,
              Fishburnevirus,1983734,,,,,,,,,,,0.12,,,,,
                  Mooglevirus,1985303,,,,,,,,,0.17,,0.03,,,0.1,,0.08
                  Jiaodavirus,1985325,,,,,,,,,0.17,,0.07,,,0.05,,
                Slopekvirus,1985328,,,,,,2.86,,,,0.08,2.47,,0.16,0.07,,
                  Moonvirus,1985329,,,,,,,,,,,0.02,,,,,
                Gemykrogvirus,1985367,2.68,0.16,,,0.51,,,0.19,,,0.02,0.16,0.17,0.19,,0.08
                  Friunavirus,1985711,,,,,,,,0.11,,,0.04,,,0.77,,
                  Przondovirus,1985720,,2.0,0.18,0.52,0.7,7.64,23.76,0.33,0.8,0.17,10.39,0.79,0.2,0.27,0.1,0.4
                  Pradovirus,1985733,,0.17,,,0.16,,,0.12,0.16,0.23,0.14,,,0.11,0.06,0.09
          Pandoravirus,2060084,,,,,,,,,,,0.13,,,,0.15,
                  Tupanvirus,2094720,,,0.25,,,0.21,,,,0.16,0.14,,,0.06,0.19,0.11
                  Agtrevirus,2169532,,,,,,,,0.13,0.21,,0.04,,,0.19,,0.1
                  Kuttervirus,2169536,,,,,,,,,,,0.05,,,0.07,,0.1
              Limdunavirus,2169621,,,0.08,,,,,0.13,,0.18,0.03,,,0.07,0.06,
                Machinavirus,2169624,,,,,,,,,,,0.02,,,,,
                  Jwalphavirus,2169642,,,,,,,,,,0.07,,,,,,
                  Ithacavirus,2169643,,,,,,,,,0.45,,0.02,,,0.06,,0.38
                  Wizardvirus,2169658,,,,,,,,,,,0.03,,,,,
                Porprismacovirus,2169663,,,,,,,0.19,,,,0.03,,,,,
                Husavirus,2219049,,,,,0.29,,,,,,,,,,,
              Asteriusvirus,2560094,,,,,,,,,,0.06,0.07,,,,,0.08
              Bantamvirus,2560096,,,,,,,,,,,0.02,,,,,
              Bingvirus,2560103,,,,,,,,,,,0.04,,,,,
              Brunovirus,2560108,,,,,,,,,,,,,,0.05,,
              Dismasvirus,2560122,,,,,,,,,,,0.02,,,,,
              Efquatrovirus,2560124,,,,,,,,,,,,,,,,0.12
              Elerivirus,2560126,,,,,,,,,,,0.02,,,,,
              Eneladusvirus,2560128,,,,,,,,,,,0.02,,,,,
              Metrivirus,2560175,,,,,,,,,,,0.01,,,,,
              Mimasvirus,2560176,,,,,,,,,,,0.02,,,,,
                  Phimunavirus,2560202,,,,,,,,0.11,,,0.04,0.19,,0.15,,
              Pikminvirus,2560203,,,,,,,,,,,0.02,,,,,
              Popoffvirus,2560208,,0.18,,,,,,0.1,,,0.02,,,0.09,,
              Rimavirus,2560214,,,,,,0.14,,,,,0.09,,,0.05,,
                Sanovirus,2560222,,0.14,0.12,,,0.19,,,,,0.11,,,0.05,,
              Scapunavirus,2560225,,,,,,,,,,,0.03,,,,,
                Sugarlandvirus,2560233,,,1.0,,,,,,0.5,0.15,0.09,1.59,,0.09,0.28,0.33
              Trinavirus,2560242,,,,,,,,,,,0.02,,,,,
                Tulanevirus,2560244,,,,,,,,,,,0.03,,,,,
                  Vividuovirus,2560251,,,,,,,,,,,0.03,,,,,
                Taipeivirus,2731621,,,,0.54,,,,,,,0.02,,,0.1,,
                  Pettyvirus,2731671,,,,,,,,,,,0.03,,,,,0.08
                  Daemvirus,2731672,,,,,,,,,,,0.02,,,,,
                Gajwadongvirus,2731941,,,,,,,,0.28,,,,,,0.28,,
                Jiaoyazivirus,2731945,,,,,,,,,,,0.04,,,,,
                Scottvirus,2731973,,,,,,,,,,,,,,,,0.09
                  Epseptimavirus,2732017,,,,,,,,,,0.1,0.04,,,,,0.1
                Shenzhenvirus,2732038,,,,,0.18,0.17,,,,,0.09,,,,,
                  Apdecimavirus,2732676,,0.15,0.1,0.45,,0.23,,0.13,,0.09,0.16,,,0.16,,
                  Berlinvirus,2732677,,,,,1.15,0.28,,0.21,,0.07,0.42,,,0.25,,
                  Foetvirus,2732682,,,,,0.24,,,,,0.07,0.13,,,0.09,,0.09
                  Ghunavirus,2732683,,,,,,,,,,,,,,,52.37,
                  Kayfunavirus,2732686,,3.69,0.69,0.78,0.62,0.63,0.44,0.49,1.59,0.81,0.68,1.55,0.24,0.47,0.37,1.24
                  Minipunavirus,2732687,,,,,,,,,,0.08,0.04,,,,,
                  Pifdecavirus,2732691,,,,,,,,,,,,,,,0.08,
                  Pijolavirus,2732692,,,,,,,,,,,,,,,1.11,
                  Teetrevirus,2732693,,,,,,,,,,,0.09,,,,,
                  Cronosvirus,2732913,,,0.21,,,,,,,,0.06,0.12,0.1,0.05,,
                  Pienvirus,2732915,,,,,,,,,,,0.01,,,,,
                  Kotilavirus,2732921,,,,,,,,0.11,,,0.03,0.21,,0.1,,
                  Stompvirus,2732922,,0.17,0.13,,0.22,,,0.32,0.25,0.09,0.08,1.03,,0.54,0.08,0.17
                Stubburvirus,2732924,,,0.28,0.32,,,,,,0.11,0.03,,,,,
                Risjevirus,2732932,,,,,,,,,,,0.02,,,,,
                  Koutsourovirus,2732938,,,0.22,,,,0.23,0.89,,0.16,0.05,3.84,,0.93,0.12,
                  Carltongylesvirus,2732960,,,,,,,,0.12,,0.07,0.03,,,0.09,,0.09
                  Pahsextavirus,2732963,,,,,,,,0.56,0.19,,0.06,,,0.42,,0.19
                  Yushanvirus,2732965,,,,,,,,,,,,,,0.05,,
                  Schiekvirus,2732968,,,0.13,,,,,,,0.13,0.02,,,,0.12,0.5
              Alexandravirus,2733088,,,,,,0.13,,,,,0.19,0.19,,,,0.08
              Aurunvirus,2733093,,,,,,,,,,,0.04,,,,,
              Baikalvirus,2733094,,,,,,,,,,,0.02,,,,,
                Derbicusvirus,2733102,,,,,,0.13,,,,,0.12,,,,,
              Eponavirus,2733103,,,0.08,,,,,,,,0.03,,,,0.06,
              Phabquatrovirus,2733123,,,,,,,,,,,0.02,,,,,
              Phapecoctavirus,2733124,,,,,,,,,,,0.02,,,0.09,,0.13
              Saclayvirus,2733128,,,0.27,,,,,,0.12,,0.05,,,0.16,,0.08
              Schmittlotzvirus,2733132,,,,,,,,,,,0.01,,,,,
              Taranisvirus,2733134,,,,,,,,,,,0.05,,,,,
              Toutatisvirus,2733138,,,,,0.16,,,,,0.1,0.06,,,,,0.08
                Wifcevirus,2733141,,,,,,,,0.1,,,,,,0.17,,
              Sortsnevirus,2733150,,,,,,,,,,,0.05,,,,,
              Xuquatrovirus,2733151,4.13,,,,0.18,,0.23,0.22,,,0.02,,0.11,0.15,,
                Bertelyvirus,2733152,,,,,,,,,,,0.03,,,,,
                Poindextervirus,2733154,,,,,,,,,,,0.02,,,,,
              Lughvirus,2733190,,,,,,,,,,,0.03,,,,,
                  Mementomorivirus,2733194,,,,,,,,,,,0.01,,,,,
                Metamorphoovirus,2733195,0.78,,,,,,,,,,0.02,,,0.08,,0.19
              Oengusvirus,2733199,0.67,,0.09,,,0.13,,,,,0.14,,,,,
                Quhwahvirus,2733202,,,,,,,,,,,0.02,,,,,
                  Pefuambidensovirus,2733227,21.21,1.1,0.42,0.43,0.46,,0.25,0.52,0.22,0.19,0.1,3.05,0.4,0.35,0.24,0.29
                  Fadolivirus,2763561,,,,,,,,,,,0.02,,,,,
              Akonivirus,2842540,,0.29,0.12,,0.21,0.22,,0.1,,0.11,0.14,,,0.1,,0.09
                Cbunavirus,2842586,,1.46,0.22,0.52,,,,3.49,0.2,0.36,0.1,0.17,0.17,2.88,0.18,0.15
                Cehakivirus,2842589,,,,,,,,,,,,,,0.08,,
                Citrovirus,2842608,,,,,,,,0.12,,,0.01,,1.32,0.21,,
                  Dongdastvirus,2842653,,,,,,,,,,0.1,0.04,,,0.06,,
                  Goettingenvirus,2842707,,,,,,,,,,,,,,,0.07,
                  Henuseptimavirus,2842728,,,,,,,,,0.16,,0.06,,0.32,,,0.11
                Huelvavirus,2842739,,,,,,,,,,,0.02,,,,,
                  Inbricusvirus,2842758,,0.61,0.18,,0.62,,,0.22,,0.22,0.08,,,0.26,,
                  Kaypoctavirus,2842786,,,,0.22,,,,0.11,0.15,,0.11,0.2,,0.28,,
                Kemicevirus,2842792,,,0.09,,0.43,,,,,,,0.2,0.42,,0.08,
              Kenoshavirus,2842796,,0.29,0.18,,,0.41,0.27,0.13,0.3,0.33,0.32,,,0.11,0.11,0.27
                Littlefixvirus,2842828,,,,,,,,,,,0.02,,,,,
              Mydovirus,2842888,0.73,,0.13,,,0.14,,1.25,0.22,0.2,0.09,,,0.89,,0.13
              Nochtlivirus,2842908,,,,,,,,0.22,,,,,,0.12,,
                Pokkenvirus,2842972,,,,,,,,,,0.08,0.04,,,,,
                  Pourcelvirus,2842976,,,,,,,,,,0.06,0.03,,,0.06,,
                Pseudotevenvirus,2842979,,,0.11,,,,,,,,0.06,,,,,
                  Pylasvirus,2842993,,,,,,,,0.14,,,0.03,,,0.19,,
                  Raunefjordenvirus,2843000,,,,,,,,,,,0.02,,,,,
              Secretariatvirus,2843027,,,,,,,,,,,0.06,,,,,
              Tanisvirus,2843069,,,0.21,,,0.29,,,,,0.23,,,0.05,0.13,
              Tinytimothyvirus,2843096,,,,,,,,,,0.07,0.07,,,0.05,0.06,
                Waedenswilvirus,2843122,,,,,,,,,,,0.01,,,,,
                Wahdswovirus,2843124,,,,,,,,,,,,,,,,0.11
                  Zedzedvirus,2843159,,,,,,,,,,,0.03,,,,,
                Zicotriavirus,2843161,,,,,,,,,,,0.03,,,,,
                Zurivirus,2843162,,,,,,,,,,,0.03,,,,,
              Aguilavirus,2843343,,,,,,,,,,,,,,0.07,,
              Astrithrvirus,2843350,,,0.1,,,,,,,,,,,,0.06,
              Audreyjarvisvirus,2843351,,,0.21,0.44,,0.34,0.31,0.54,,0.2,0.29,0.16,,0.66,,
              Burrovirus,2843362,,0.98,0.71,0.37,0.85,0.57,0.97,0.28,0.62,0.56,0.4,0.49,0.3,0.34,0.26,0.45
              Chopinvirus,2843365,,,,0.26,,,,,,,0.02,,,,,
              Fremauxvirus,2843383,,,,,,,,,,,0.04,,,,,
                  Kanagawavirus,2843399,,,,,,,,,,,0.02,,,,,
              Lastavirus,2843414,,,,,,,,0.14,,,,0.13,,,,
              Muldoonvirus,2843425,,,,,,,,,,,0.02,,,,,
              Muminvirus,2843426,,,,,,,,0.26,,,0.31,,,,,
              Plateaulakevirus,2843436,,,0.17,,0.18,0.17,,0.83,,0.42,0.23,,,0.55,,
              Takahashivirus,2843463,,,,,,,,,,,0.03,,,,,
              Teubervirus,2843466,,,,,,,,,,,0.04,,,,,
              Uwajimavirus,2843469,,,,,,,,,,,,,,,,0.2
                Yonseivirus,2843478,,0.66,0.26,0.32,,,0.38,2.0,0.17,0.21,0.1,1.39,0.55,1.53,0.13,0.15
                  Kahnovirus,2942979,,1.54,1.37,2.96,1.03,1.12,1.22,1.68,1.26,0.6,1.01,0.66,0.61,1.91,0.74,0.91
                  Kehishuvirus,2942980,,0.84,0.9,0.55,1.54,0.35,1.38,0.43,0.99,0.59,0.3,0.52,1.61,0.36,1.0,1.01
                  Paundivirus,2942981,,0.3,0.99,0.49,,,,0.22,0.2,0.13,0.08,,0.19,0.18,0.3,0.11
                  Wulfhauvirus,2942982,,,,,,,,,,0.07,0.01,,,,,
                  Afonbuvirus,2942989,,0.66,0.68,2.16,1.3,0.84,0.94,1.2,1.72,0.82,0.73,0.3,1.61,1.08,0.45,1.96
                  Canhaevirus,2942990,,0.17,0.23,,0.19,,0.32,0.13,0.27,0.15,0.09,0.22,,0.09,0.13,0.22
                  Cohcovirus,2942991,,0.33,0.13,,0.27,0.17,,0.1,0.26,0.11,0.16,,,,,0.24
                  Culoivirus,2942992,,,,,0.16,,,,,,0.07,,,,,0.11
                  Blohavirus,2942993,,0.21,0.19,0.38,0.25,0.34,0.3,0.11,0.31,0.09,0.24,0.25,0.2,0.12,0.2,0.22
                  Buchavirus,2942994,,0.43,0.22,0.67,1.31,0.72,0.21,0.58,0.86,0.28,0.64,0.3,0.6,0.66,0.18,0.85
                Dunedinvirus,2943004,,,,,,,0.19,,,,,,,0.25,,
                Gwanakrovirus,2943008,,,,,,,,,,,0.02,,,,,
                Salvovirus,2943016,,0.87,0.34,0.39,0.16,0.28,,0.31,0.2,0.84,0.2,0.2,0.81,0.33,0.13,0.21
                Seodaemunguvirus,2943017,,,0.14,,,,,0.11,,0.08,,,,0.1,0.1,
                Sharonstreetvirus,2943019,,0.24,0.12,0.8,,0.21,4.15,0.14,0.17,0.09,0.18,,,0.09,0.08,0.09
                Zhonglingvirus,2943020,,,,,,,,,,,,,,,,0.15
              Swiduovirus,2944849,,,,,,,,,,0.07,,,,,,
              Akiravirus,2946787,,,,,,,,,,0.16,,,,0.1,,
                Angainorvirus,2946799,,,,,,,,,,,,,,,0.12,
                  Aurodevirus,2946811,,0.9,0.74,0.94,1.55,0.29,0.47,0.56,2.74,0.98,0.23,0.74,0.93,0.62,0.47,2.1
              Backyardiganvirus,2946815,,,,,,,,,,,0.06,,,,,
              Beograduvirus,2946820,,0.43,,,,,,,,,,,,,,
                  Besingivirus,2946821,,,,,0.16,,,,0.14,,0.07,,,,,0.13
                  Birpovirus,2946830,,0.26,0.16,,0.24,0.38,0.22,0.16,0.27,0.1,0.24,0.12,0.17,0.14,0.14,0.21
                  Bohxovirus,2946832,,,,,,,,,0.12,,0.09,,,,,0.09
                  Buhlduvirus,2948643,,,,,,,,,,,0.12,,,,,0.12
                  Buorbuivirus,2948644,,,0.09,,0.17,,,,0.33,0.11,0.07,,,0.06,0.13,0.26
                  Burzaovirus,2948645,0.89,26.59,53.14,34.87,25.72,44.36,36.24,12.96,39.62,22.87,42.2,23.4,20.79,15.33,14.85,30.81
                  Cacepaovirus,2948646,,,0.21,0.67,0.35,0.42,0.31,0.13,0.29,0.13,0.41,0.53,,0.17,,0.25
                  Carjivirus,2948652,17.75,1.6,1.32,1.53,1.04,1.58,1.57,0.8,0.88,0.67,1.31,0.61,0.65,0.65,0.88,1.01
                  Chuhaivirus,2948663,,0.27,0.47,0.65,0.42,0.76,1.34,0.17,1.03,0.69,0.96,1.95,0.41,0.23,0.15,1.05
                  Clownvirus,2948667,,,,,,0.23,,,0.21,,0.12,,,0.06,,0.09
                  Dabirmavirus,2948671,,,,,,,,,,,0.04,,,,,
              Deseoctovirus,2948678,,,,,,,,,,0.19,,,,,,
                  Diorhovirus,2948680,,,0.13,,,,,,0.21,,0.03,,,,0.08,0.15
                  Drivevirus,2948684,,0.17,,,0.26,,,,,,0.06,,0.11,,,
                  Delmidovirus,2948688,,,0.12,,,,,,,,0.1,0.13,,0.08,,
                Efbeekayvirus,2948690,,0.17,0.41,0.41,0.42,0.96,,3.14,0.29,0.34,1.01,0.54,0.43,2.29,0.18,0.25
                  Endlipuvirus,2948697,,0.3,0.12,,,,,,,,0.05,,,,,0.13
                Exceevirus,2948704,,0.17,0.13,,0.16,,,0.2,0.27,0.1,0.08,,,0.34,0.08,0.09
                  Faithunavirus,2948705,,,,,,0.13,,,,0.11,0.08,,,,,
                  Fohxhuevirus,2948709,,0.81,0.83,1.62,0.51,1.44,0.71,0.27,0.52,0.5,1.31,0.72,0.39,0.17,0.34,0.34
                  Foxborovirus,2948710,,,,,,,,,,,0.02,,,,,
                  Hacihdavirus,2948736,,,0.22,,,0.31,,,,0.06,0.22,,,0.09,0.13,
                Herugrimvirus,2948758,16.24,,0.1,,5.11,0.28,0.19,,,,0.28,,0.32,,0.07,0.16
                  Jahgtovirus,2948767,,0.27,0.3,0.24,0.3,,,0.15,0.45,0.16,0.07,0.14,0.47,0.17,0.26,0.49
                Jamesmcgillvirus,2948768,,,0.1,,,,,,,,,,,,0.1,
              Jujuvirus,2948772,,,,,,,,,,,0.02,,,,,
                  Junduvirus,2948774,,0.17,,0.63,0.29,0.45,,8.88,,0.13,0.33,0.12,0.14,14.07,,0.16
              Justusliebigvirus,2948775,,,,,,,,,,,0.02,,,,,
                  Kingevirus,2948785,1.0,,0.12,0.28,0.22,0.21,,0.29,,0.21,0.28,,0.24,0.27,0.07,0.22
                Klumppvirus,2948786,,,,,,,,,,,0.01,,,,,
                  Kolpuevirus,2948787,,0.37,0.4,0.36,0.29,0.26,0.6,0.12,0.72,0.53,0.29,0.51,0.33,0.21,0.22,0.48
              Kunmingvirus,2948791,,0.26,,,,,,0.1,,,0.02,,,,,
                  Lahndsivirus,2948793,,,,0.22,,,,,,,0.02,,,,,0.12
                  Lebriduvirus,2948797,,,,,0.19,,,,0.24,0.1,0.06,,0.11,0.07,,0.19
                Lipsvirus,2948803,,,,,,,,,,,0.04,,,,,
                  Lumosvirus,2948808,,,,,,,,,,,0.02,,,,,
                  Mahlunavirus,2948812,,,,,,,,,,0.06,0.03,,0.1,0.05,,
                  Mahstovirus,2948813,,,,,0.17,,0.54,0.12,,0.07,0.04,,,0.08,,
              Moomoovirus,2948827,,,,,,,,,,,0.02,,,,,
              Myrnavirus,2948833,,,,,,,,,,,0.02,,,,,
                  Pamirivirus,2948854,,,0.13,,,,,,,0.07,0.03,,,,,
                  Pipoluvirus,2948867,,,0.08,,,,,,,,0.06,,,,,
              Segzyvirus,2948900,,,,,,,,,,0.13,,,,,,
              Sheenvirus,2948905,,,,,,,,,,,0.01,,,,,
              Skatevirus,2948910,,,,,,,,,,0.26,,,,0.11,,
                  Sukkupivirus,2948917,,,,,,,,,,,0.03,,,,,
                Triduovirus,2948933,,,,,,,,1.48,1.02,0.4,0.08,0.38,,1.1,,0.99
                Vingilotevirus,2948948,4.24,,,,0.4,,,,,,,,,,,
                  Wotdevirus,2948953,,,0.23,,0.22,0.18,,,,,0.18,,,0.05,,0.1
                  Xooduovirus,2948956,,,,,,,,,,,0.02,,,,,
              Axeltriavirus,3044667,,,,,,,,,,,0.03,,,0.06,,
              Carvajevirus,3044683,,,0.46,,,,,,,,,,,,0.34,
                Chaoshanvirus,3044686,,,,,,,,,,,0.02,,,,,
              Clawzvirus,3044689,,,,,,,,,,,0.02,,,,,
              Cobrasixvirus,3044690,,0.18,0.26,,,,,0.22,0.16,,0.05,,,0.08,0.26,0.11
                Ferozepurvirus,3044715,,,,,,,,,,,0.07,,,,,
              Forzavirus,3044718,,,,,,,,,,,0.02,,,,,
                Miamivirus,3044763,,,,,,,,0.38,,,0.02,,,0.35,,
                Moazamivirus,3044766,,,,,0.22,,,,,,,,,,,
                  Moovirus,3044769,,2.23,0.42,,,,0.53,1.63,0.17,0.16,0.08,0.14,0.29,1.19,0.32,0.22
                Nieuwekanaalvirus,3044774,,,,,,,,,,0.07,0.07,,,,0.07,
              Quivirus,3044799,,,,,,,,,,0.07,0.04,,,,,
                  Rheavirus,3044800,,,,,,,,,,,0.03,,,,,
              Richievirus,3044803,,,,,,,,,,0.12,0.04,,,,,
                Yellowseavirus,3044861,,,,,,,,,,,0.03,,,,,
                  Moumouvirus,3080801,,,,,,,,,,0.08,0.11,,,0.06,,
                  Donnerlittchenvirus,3152600,,,,,,,,,,,0.01,,,,,
              Oscarsovirus,3152624,,,,,,,,,,0.09,0.02,,,,,
              Bimevirus,3152907,,,,,,,,0.24,,,,,,0.16,,
              Mascletvirus,3152910,,,,,,,,,,,,,,0.06,,
              Sircambvirus,3152913,,,,,,,,0.24,,,,,0.17,0.19,,
              Zewailvirus,3152914,,,,,,,,,,,,,,0.07,,
              Miecznikowavirus,3152971,,,0.08,,,,,,,,,,,,0.07,
                Otakuvirus,3152972,,,,,,,,,,,,,,0.06,,
              Efemquintavirus,3152996,,,,,0.44,,,,,,,,,,,2.46
                Seretavirus,3152998,,,,,,,,0.16,,,,,,0.09,,
                  Longwangvirus,3153014,,0.26,0.28,,0.36,0.49,0.41,0.9,0.16,0.08,0.31,,,0.78,0.16,
                  Alphaorpheovirus,3153020,,,0.08,,,0.39,0.23,,,,0.45,,,,0.08,
                Amaruvirus,3153056,,,,,,,,,,,0.03,,,,,
                Intivirus,3153059,,,,,,,,,,,0.02,,0.38,,,
              Torvergatavirus,3153079,,,,,,,,,,,0.03,,,,,
              Shirevirus,3153128,,,,,,,,,,,0.02,,,,,
              Efemunavirus,3153270,,,,,,,,,,,0.02,,,,,2.78
                  Peekayseptimavirus,3153273,0.95,,0.26,,,,,0.12,0.53,0.12,0.11,,0.1,0.1,0.12,0.49
                  Hennigervirus,3424959,,,,,,,,,,,,,,,1.57,
                  Pfluvirus,3424962,,,,,,,,,,,,,,,0.15,
                Oliviavirus,3424985,,,,,,,,,,,0.04,,,,,
